window,t_s,n_load
calm,6228.0,0.83663111339682
calm,6229.0,0.9897797703534215
calm,6230.0,0.8574396412432889
calm,6231.0,0.6518435701214084
calm,6232.0,0.7563395307099494
calm,6233.0,1.0222600872145586
calm,6234.0,1.0115204986803263
calm,6235.0,0.7524073615930734
calm,6236.0,0.6657885870240455
calm,6237.0,0.8522163944910492
calm,6238.0,0.969345391485996
calm,6239.0,0.8515267574290226
calm,6240.0,0.7652882048642683
calm,6241.0,0.8639033084345605
calm,6242.0,0.9424029553170417
calm,6243.0,0.8390689566043514
calm,6244.0,0.7268536410745162
calm,6245.0,0.7839429028715288
calm,6246.0,0.9009211602303233
calm,6247.0,0.9175056215352595
calm,6248.0,0.8739593436205156
calm,6249.0,0.8549558850028905
calm,6250.0,0.8219881429954113
calm,6251.0,0.7594227273578139
calm,6252.0,0.7752479256590896
calm,6253.0,0.8934609051808979
calm,6254.0,0.9458063572068923
calm,6255.0,0.8612382540323197
calm,6256.0,0.7893808909464941
calm,6257.0,0.8391735291858399
calm,6258.0,0.8815444122454191
calm,6259.0,0.8020881285040209
calm,6260.0,0.7375468355232143
calm,6261.0,0.8374397988969572
calm,6262.0,0.9856620432485141
calm,6263.0,0.9600749281868396
calm,6264.0,0.7928937580043703
calm,6265.0,0.7080295003163042
calm,6266.0,0.7810851250773014
calm,6267.0,0.8833472344376188
calm,6268.0,0.9073036025390483
calm,6269.0,0.8739373468020982
