# t,x,z,Vx,Vz,T,L,D,R,N_water
6.217999999999999972e+00,4.440283547661285013e+01,1.513099850428955007e+00,1.473089754631673287e+01,1.118669008028150058e+00,3.299582342876734629e+02,8.033905708085748074e+02,8.320892527197077015e+01,8.320892527197077015e+01,0.000000000000000000e+00
6.219000000000000306e+00,4.441756868991561902e+01,1.514218935041717895e+00,1.473321330276705510e+01,1.119084612762854425e+00,3.298886766373332762e+02,8.033774100108248604e+02,8.322995138304699481e+01,8.322995138304699481e+01,0.000000000000000000e+00
6.219999999999999751e+00,4.443230421769754912e+01,1.515338434985715743e+00,1.473552778192803103e+01,1.119499943997888547e+00,3.298191463156159102e+02,8.033642615255932924e+02,8.325097116131728114e+01,8.325097116131728114e+01,0.000000000000000000e+00
6.221000000000000085e+00,4.444704205868193014e+01,1.516458349987652054e+00,1.473784098438340529e+01,1.119915001936299559e+00,3.297496433233003472e+02,8.033511253363681135e+02,8.327198460227081966e+01,8.327198460227081966e+01,0.000000000000000000e+00
6.222000000000000419e+00,4.446178221159264865e+01,1.517578679774433059e+00,1.474015291071675193e+01,1.120329786780917436e+00,3.296801676611485163e+02,8.033380014266724629e+02,8.329299170141028696e+01,8.329299170141028696e+01,0.000000000000000000e+00
6.222999999999999865e+00,4.447652467515415964e+01,1.518699424073167492e+00,1.474246356151147985e+01,1.120744298734354771e+00,3.296107193299060896e+02,8.033248897800584700e+02,8.331399245425147626e+01,8.331399245425147626e+01,0.000000000000000000e+00
6.224000000000000199e+00,4.449126944809150785e+01,1.519820582611166593e+00,1.474477293735083450e+01,1.121158537999007665e+00,3.295412983303025953e+02,8.033117903801105513e+02,8.333498685632345371e+01,8.333498685632345371e+01,0.000000000000000000e+00
6.225000000000000533e+00,4.450601652913032780e+01,1.520942155115943661e+00,1.474708103881789434e+01,1.121572504777055723e+00,3.294719046630509069e+02,8.032987032104443870e+02,8.335597490316852998e+01,8.335597490316852998e+01,0.000000000000000000e+00
6.225999999999999979e+00,4.452076591699682240e+01,1.522064141315214059e+00,1.474938786649557088e+01,1.121986199270462503e+00,3.294025383288477542e+02,8.032856282547071487e+02,8.337695659034226026e+01,8.337695659034226026e+01,0.000000000000000000e+00
6.227000000000000313e+00,4.453551761041779145e+01,1.523186540936894984e+00,1.475169342096661040e+01,1.122399621680975956e+00,3.293331993283734391e+02,8.032725654965771582e+02,8.339793191341323109e+01,8.339793191341323109e+01,0.000000000000000000e+00
6.227999999999999758e+00,4.455027160812060316e+01,1.524309353709105030e+00,1.475399770281359402e+01,1.122812772210129095e+00,3.292638876622917223e+02,8.032595149197638875e+02,8.341890086796328774e+01,8.341890086796328774e+01,0.000000000000000000e+00
6.229000000000000092e+00,4.456502790883322263e+01,1.525432579360164187e+00,1.475630071261893761e+01,1.123225651059239549e+00,3.291946033312506188e+02,8.032464765080082998e+02,8.343986344958742052e+01,8.343986344958742052e+01,0.000000000000000000e+00
6.230000000000000426e+00,4.457978651128419045e+01,1.526556217618593614e+00,1.475860245096489010e+01,1.123638258429411119e+00,3.291253463358813178e+02,8.032334502450822811e+02,8.346081965389369373e+01,8.346081965389369373e+01,0.000000000000000000e+00
6.230999999999999872e+00,4.459454741420262280e+01,1.527680268213115200e+00,1.476090291843353519e+01,1.124050594521533331e+00,3.290561166767988652e+02,8.032204361147879581e+02,8.348176947650317459e+01,8.348176947650317459e+01,0.000000000000000000e+00
6.232000000000000206e+00,4.460931061631823269e+01,1.528804730872651563e+00,1.476320211560679319e+01,1.124462659536281661e+00,3.289869143546022201e+02,8.032074341009591762e+02,8.350271291305010379e+01,8.350271291305010379e+01,0.000000000000000000e+00
