site,area,lead_h,stamp_jst,dist_km,go,breach,n_breach,wind_m_s,gust_m_s,rain_mm_h,visibility_m,lightning_risk,condition,density_kg_m3,prop_factor,extra_cd,margin,v_stall_m_s,alpha_trim_deg
宮古,030020,15.0,09/21 23:00,526.4,False,"wind,gust",2,15.9,22.7,3.3,18832.0,0.08,rain,1.1558,0.986,0.0,6.895,6.73,2.46
宮古,030020,18.0,09/22 02:00,454.4,False,"wind,gust",2,17.0,24.3,4.1,18561.0,0.1,rain,1.1574,0.984,0.0,6.884,6.72,2.46
宮古,030020,21.0,09/22 05:00,382.9,False,"wind,gust",2,18.1,25.9,3.9,18630.0,0.1,rain,1.1592,0.984,0.0,6.893,6.72,2.45
宮古,030020,24.0,09/22 08:00,313.9,False,"wind,gust",2,19.7,28.2,3.1,18899.0,0.08,rain,1.1611,0.987,0.0,6.916,6.71,2.44
宮古,030020,27.0,09/22 11:00,250.6,False,"wind,gust",2,21.3,30.4,2.2,19214.0,0.06,rain,1.163,0.99,0.0,6.943,6.71,2.43
宮古,030020,30.0,09/22 14:00,199.7,False,"wind,gust",2,22.9,32.7,1.5,19478.0,0.04,rain,1.1649,0.992,0.0,6.969,6.7,2.42
宮古,030020,33.0,09/22 17:00,174.1,False,"wind,gust",2,23.9,34.1,0.9,19673.0,0.02,rain,1.1668,0.995,0.0,6.991,6.7,2.41
宮古,030020,36.0,09/22 20:00,185.9,False,"wind,gust",2,23.6,33.6,0.6,19796.0,0.01,rain,1.1687,0.996,0.0,7.008,6.69,2.4
宮古,030020,39.0,09/22 23:00,230.2,False,"wind,gust",2,22.1,31.6,0.4,19868.0,0.01,rain,1.1705,0.997,0.0,7.021,6.68,2.39
宮古,030020,42.0,09/23 02:00,293.4,False,"wind,gust",2,20.5,29.3,0.2,19913.0,0.01,rain,1.1722,0.998,0.0,7.031,6.68,2.38
宮古,030020,45.0,09/23 05:00,366.1,False,"wind,gust",2,11.8,16.8,0.0,19983.0,0.0,rain,1.1737,0.999,0.0,7.046,6.68,2.37
